SNo;Город;Регион;Федеральный округ;Население
741;Новочеркасск;Ростовская область;Южный;169039
742;Новошахтинск;Ростовская область;Южный;111087
743;Пролетарск;Ростовская область;Южный;20267
744;Ростов-на-Дону;Ростовская область;Южный;1091544
745;Сальск;Ростовская область;Южный;61312
746;Семикаракорск;Ростовская область;Южный;23884
747;Таганрог;Ростовская область;Южный;257692
748;Цимлянск;Ростовская область;Южный;15029
749;Шахты;Ростовская область;Южный;240152
750;Касимов;Рязанская область;Центральный;33494
751;Кораблино;Рязанская область;Центральный;12657
752;Михайлов;Рязанская область;Центральный;11783
753;Новомичуринск;Рязанская область;Центральный;19309
754;Рыбное;Рязанская область;Центральный;18378
755;Ряжск;Рязанская область;Центральный;21676
756;Рязань;Рязанская область;Центральный;525062
757;Сасово;Рязанская область;Центральный;28117
758;Скопин;Рязанская область;Центральный;30374
759;Спас-Клепики;Рязанская область;Центральный;5917
760;Спасск-Рязанский;Рязанская область;Центральный;7745
761;Шацк;Рязанская область;Центральный;6562
762;Жигулёвск;Самарская область;Приволжский;57565
763;Кинель;Самарская область;Приволжский;34472
764;Нефтегорск;Самарская область;Приволжский;18732
765;Новокуйбышевск;Самарская область;Приволжский;108449
766;Октябрьск;Самарская область;Приволжский;27244
767;Отрадный;Самарская область;Приволжский;47709
768;Похвистнево;Самарская область;Приволжский;28181
769;Самара;Самарская область;Приволжский;1164900
770;Сызрань;Самарская область;Приволжский;178773
771;Тольятти;Самарская область;Приволжский;719484
772;Чапаевск;Самарская область;Приволжский;72689
773;Зеленогорск;Санкт-Петербург;Северо-Западный;12859
774;Колпино;Санкт-Петербург;Северо-Западный;138013
775;Красное Село;Санкт-Петербург;Северо-Западный;44485
776;Кронштадт;Санкт-Петербург;Северо-Западный;42999
777;Ломоносов;Санкт-Петербург;Северо-Западный;43002
778;Павловск;Санкт-Петербург;Северо-Западный;16058
779;Петергоф;Санкт-Петербург;Северо-Западный;73154
780;Пушкин;Санкт-Петербург;Северо-Западный;92721
781;Санкт-Петербург;Санкт-Петербург;Северо-Западный;4848742
782;Сестрорецк;Санкт-Петербург;Северо-Западный;36680
783;Аркадак;Саратовская область;Приволжский;12846
784;Аткарск;Саратовская область;Приволжский;25620
785;Балаково;Саратовская область;Приволжский;199576
786;Балашов;Саратовская область;Приволжский;82222
787;Вольск;Саратовская область;Приволжский;66520
788;Ершов;Саратовская область;Приволжский;21447
789;Калининск;Саратовская область;Приволжский;16442
790;Красноармейск;Саратовская область;Приволжский;24362
791;Красный Кут;Саратовская область;Приволжский;14420
792;Маркс;Саратовская область;Приволжский;31535
793;Новоузенск;Саратовская область;Приволжский;17015
794;Петровск;Саратовская область;Приволжский;31158
795;Пугачёв;Саратовская область;Приволжский;41705
796;Ртищево;Саратовская область;Приволжский;41295
797;Саратов;Саратовская область;Приволжский;836900
798;Хвалынск;Саратовская область;Приволжский;13199
799;Шиханы;Саратовская область;Приволжский;6067
800;Энгельс;Саратовская область;Приволжский;202838
801;Александровск-Сахалинский;Сахалинская область;Дальневосточный;10613
802;Анива;Сахалинская область;Дальневосточный;8449
803;Долинск;Сахалинская область;Дальневосточный;12200
804;Корсаков;Сахалинская область;Дальневосточный;33526
805;Курильск;Сахалинская область;Дальневосточный;2070
806;Макаров;Сахалинская область;Дальневосточный;6788
807;Невельск;Сахалинская область;Дальневосточный;11682
808;Оха;Сахалинская область;Дальневосточный;23007
809;Поронайск;Сахалинская область;Дальневосточный;16461
810;Северо-Курильск;Сахалинская область;Дальневосточный;2381
811;Томари;Сахалинская область;Дальневосточный;4537
812;Углегорск;Сахалинская область;Дальневосточный;11880
813;Холмск;Сахалинская область;Дальневосточный;30936
814;Шахтёрск;Сахалинская область;Дальневосточный;8382
815;Южно-Сахалинск;Сахалинская область;Дальневосточный;181727
816;Алапаевск;Свердловская область;Уральский;38198
817;Арамиль;Свердловская область;Уральский;14227
818;Артёмовский;Свердловская область;Уральский;32878
819;Асбест;Свердловская область;Уральский;70067
820;Берёзовский;Свердловская область;Уральский;51583
821;Богданович;Свердловская область;Уральский;31752
822;Верхний Тагил;Свердловская область;Уральский;11843
823;Верхняя Пышма;Свердловская область;Уральский;58707
824;Верхняя Салда;Свердловская область;Уральский;46240
825;Верхняя Тура;Свердловская область;Уральский;9468
826;Верхотурье;Свердловская область;Уральский;8815
827;Волчанск;Свердловская область;Уральский;10008
828;Дегтярск;Свердловская область;Уральский;15521
829;Екатеринбург;Свердловская область;Уральский;1377738
830;Заречный;Свердловская область;Уральский;26803
831;Ивдель;Свердловская область;Уральский;17764
832;Ирбит;Свердловская область;Уральский;38352
833;Каменск-Уральский;Свердловская область;Уральский;174710
834;Камышлов;Свердловская область;Уральский;26875
835;Карпинск;Свердловская область;Уральский;29118
836;Качканар;Свердловская область;Уральский;42563
837;Кировград;Свердловская область;Уральский;21959
838;Краснотурьинск;Свердловская область;Уральский;59701
839;Красноуральск;Свердловская область;Уральский;24973
840;Красноуфимск;Свердловская область;Уральский;80457
841;Кушва;Свердловская область;Уральский;33027
842;Лесной;Свердловская область;Уральский;52464
843;Михайловск;Свердловская область;Уральский;9215
844;Невьянск;Свердловская область;Уральский;25147
845;Нижние Серги;Свердловская область;Уральский;11217
846;Нижний Тагил;Свердловская область;Уральский;361883
847;Нижняя Салда;Свердловская область;Уральский;17969
848;Нижняя Тура;Свердловская область;Уральский;21596
849;Новая Ляля;Свердловская область;Уральский;12400
850;Новоуральск;Свердловская область;Уральский;91813
851;Первоуральск;Свердловская область;Уральский;149800
852;Полевской;Свердловская область;Уральский;64316
853;Ревда;Свердловская область;Уральский;61713
854;Реж;Свердловская область;Уральский;38709
855;Североуральск;Свердловская область;Уральский;29279
856;Серов;Свердловская область;Уральский;99381
857;Среднеуральск;Свердловская область;Уральский;20357
858;Сухой Лог;Свердловская область;Уральский;34836
859;Сысерть;Свердловская область;Уральский;20594
860;Тавда;Свердловская область;Уральский;35421
861;Талица;Свердловская область;Уральский;18339
862;Туринск;Свердловская область;Уральский;17990
863;Алагир;Северная Осетия - Алания;Северо-Кавказский;20949
864;Ардон;Северная Осетия - Алания;Северо-Кавказский;18774
865;Беслан;Северная Осетия - Алания;Северо-Кавказский;36724
866;Владикавказ;Северная Осетия - Алания;Северо-Кавказский;311635
867;Дигора;Северная Осетия - Алания;Северо-Кавказский;10856
868;Моздок;Северная Осетия - Алания;Северо-Кавказский;38748
869;Велиж;Смоленская область;Центральный;7620
870;Вязьма;Смоленская область;Центральный;57103
871;Гагарин;Смоленская область;Центральный;31721
872;Демидов;Смоленская область;Центральный;7333
873;Десногорск;Смоленская область;Центральный;29677
874;Дорогобуж;Смоленская область;Центральный;10720
875;Духовщина;Смоленская область;Центральный;4370
876;Ельня;Смоленская область;Центральный;10095
877;Починок;Смоленская область;Центральный;8776
878;Рославль;Смоленская область;Центральный;54898
879;Рудня;Смоленская область;Центральный;10029
880;Сафоново;Смоленская область;Центральный;46116
881;Смоленск;Смоленская область;Центральный;326863
882;Сычёвка;Смоленская область;Центральный;8111
883;Ярцево;Смоленская область;Центральный;47853
884;Благодарный;Ставропольский край;Северо-Кавказский;32736
885;Будённовск;Ставропольский край;Северо-Кавказский;64628
886;Георгиевск;Ставропольский край;Северо-Кавказский;72126
887;Ессентуки;Ставропольский край;Северо-Кавказский;100969
888;Железноводск;Ставропольский край;Северо-Кавказский;24496
889;Зеленокумск;Ставропольский край;Северо-Кавказский;35790
890;Изобильный;Ставропольский край;Северо-Кавказский;40546
891;Ипатово;Ставропольский край;Северо-Кавказский;26055
892;Кисловодск;Ставропольский край;Северо-Кавказский;128502
893;Лермонтов;Ставропольский край;Северо-Кавказский;22540
894;Минеральные Воды;Ставропольский край;Северо-Кавказский;76715
895;Михайловск;Ставропольский край;Северо-Кавказский;71018
896;Невинномысск;Ставропольский край;Северо-Кавказский;118351
897;Нефтекумск;Ставропольский край;Северо-Кавказский;27700
898;Новоалександровск;Ставропольский край;Северо-Кавказский;26759
899;Новопавловск;Ставропольский край;Северо-Кавказский;26556
900;Пятигорск;Ставропольский край;Северо-Кавказский;142397
901;Светлоград;Ставропольский край;Северо-Кавказский;38520
902;Ставрополь;Ставропольский край;Северо-Кавказский;398266
903;Жердевка;Тамбовская область;Центральный;15211
904;Кирсанов;Тамбовская область;Центральный;17240
905;Котовск;Тамбовская область;Центральный;31851
906;Мичуринск;Тамбовская область;Центральный;98758
907;Моршанск;Тамбовская область;Центральный;41550
908;Рассказово;Тамбовская область;Центральный;45484
909;Тамбов;Тамбовская область;Центральный;280457
910;Уварово;Тамбовская область;Центральный;26829
911;Агрыз;Татарстан;Приволжский;19299
912;Азнакаево;Татарстан;Приволжский;34859
913;Альметьевск;Татарстан;Приволжский;146309
914;Арск;Татарстан;Приволжский;18114
915;Бавлы;Татарстан;Приволжский;22109
916;Болгар;Татарстан;Приволжский;8650
917;Бугульма;Татарстан;Приволжский;89144
918;Буинск;Татарстан;Приволжский;20342
919;Елабуга;Татарстан;Приволжский;70750
920;Заинск;Татарстан;Приволжский;41798
921;Зеленодольск;Татарстан;Приволжский;97651
922;Казань;Татарстан;Приволжский;1143546
923;Лаишево;Татарстан;Приволжский;7735
924;Лениногорск;Татарстан;Приволжский;64145
925;Мамадыш;Татарстан;Приволжский;14432
926;Менделеевск;Татарстан;Приволжский;22075
927;Мензелинск;Татарстан;Приволжский;16474
928;Набережные Челны;Татарстан;Приволжский;513242
929;Нижнекамск;Татарстан;Приволжский;234108
930;Нурлат;Татарстан;Приволжский;32600
931;Тетюши;Татарстан;Приволжский;11596
932;Чистополь;Татарстан;Приволжский;60703
933;Андреаполь;Тверская область;Центральный;8265
934;Бежецк;Тверская область;Центральный;24517
935;Белый;Тверская область;Центральный;3771
936;Бологое;Тверская область;Центральный;23499
937;Весьегонск;Тверская область;Центральный;7330
938;Вышний Волочёк;Тверская область;Центральный;52326
939;Западная Двина;Тверская область;Центральный;9376
940;Зубцов;Тверская область;Центральный;6937
941;Калязин;Тверская область;Центральный;13870
942;Кашин;Тверская область;Центральный;16174
943;Кимры;Тверская область;Центральный;49623
944;Конаково;Тверская область;Центральный;41303
945;Красный Холм;Тверская область;Центральный;5608
946;Кувшиново;Тверская область;Центральный;10008
947;Лихославль;Тверская область;Центральный;12259
948;Нелидово;Тверская область;Центральный;22886
949;Осташков;Тверская область;Центральный;18073
950;Ржев;Тверская область;Центральный;62026
951;Старица;Тверская область;Центральный;8610
952;Тверь;Тверская область;Центральный;403726
953;Торжок;Тверская область;Центральный;47702
954;Торопец;Тверская область;Центральный;13018
955;Удомля;Тверская область;Центральный;31048
956;Асино;Томская область;Сибирский;25614
957;Кедровый;Томская область;Сибирский;2451
958;Колпашево;Томская область;Сибирский;24126
959;Северск;Томская область;Сибирский;108466
960;Стрежевой;Томская область;Сибирский;42216
961;Томск;Томская область;Сибирский;522940
962;Алексин;Тульская область;Центральный;61738
963;Белёв;Тульская область;Центральный;13918
964;Богородицк;Тульская область;Центральный;31897
965;Болохово;Тульская область;Центральный;9619
966;Венёв;Тульская область;Центральный;15220
967;Донской;Тульская область;Центральный;64561
968;Ефремов;Тульская область;Центральный;42350
969;Кимовск;Тульская область;Центральный;28493
970;Киреевск;Тульская область;Центральный;25585
971;Липки;Тульская область;Центральный;8741
972;Новомосковск;Тульская область;Центральный;131227
973;Плавск;Тульская область;Центральный;16248
974;Суворов;Тульская область;Центральный;18975
975;Тула;Тульская область;Центральный;501129
976;Узловая;Тульская область;Центральный;55282
977;Чекалин;Тульская область;Центральный;994
978;Щёкино;Тульская область;Центральный;58154
979;Ясногорск;Тульская область;Центральный;16804
980;Советск;Тульская область;Центральный;7537
981;Ак-Довурак;Тыва;Сибирский;13469
982;Кызыл;Тыва;Сибирский;109906
983;Туран;Тыва;Сибирский;4988
984;Чадан;Тыва;Сибирский;9037
985;Шагонар;Тыва;Сибирский;10958
986;Заводоуковск;Тюменская область;Уральский;25657
987;Ишим;Тюменская область;Уральский;69567
988;Тобольск;Тюменская область;Уральский;99698
989;Тюмень;Тюменская область;Уральский;581758
990;Ялуторовск;Тюменская область;Уральский;36494
991;Воткинск;Удмуртия;Приволжский;100034
992;Глазов;Удмуртия;Приволжский;95835
993;Ижевск;Удмуртия;Приволжский;628117
994;Камбарка;Удмуртия;Приволжский;11028
995;Можга;Удмуртия;Приволжский;47959
996;Сарапул;Удмуртия;Приволжский;101390
997;Барыш;Ульяновская область;Приволжский;17149
998;Димитровград;Ульяновская область;Приволжский;122549
999;Инза;Ульяновская область;Приволжский;18547
1000;Новоульяновск;Ульяновская область;Приволжский;16032
1001;Сенгилей;Ульяновская область;Приволжский;6959
1002;Ульяновск;Ульяновская область;Приволжский;613793
1003;Амурск;Хабаровский край;Дальневосточный;42977
1004;Бикин;Хабаровский край;Дальневосточный;17156
1005;Вяземский;Хабаровский край;Дальневосточный;14556
1006;Комсомольск-на-Амуре;Хабаровский край;Дальневосточный;263906
1007;Николаевск-на-Амуре;Хабаровский край;Дальневосточный;22773
1008;Советская Гавань;Хабаровский край;Дальневосточный;27712
1009;Хабаровск;Хабаровский край;Дальневосточный;577668
1010;Абаза;Хакасия;Сибирский;17111
1011;Абакан;Хакасия;Сибирский;165183
1012;Саяногорск;Хакасия;Сибирский;49889
1013;Сорск;Хакасия;Сибирский;12140
1014;Черногорск;Хакасия;Сибирский;72117
1015;Белоярский;Ханты-Мансийский авт. окр.;Уральский;20283
1016;Когалым;Ханты-Мансийский авт. окр.;Уральский;58192
1017;Лангепас;Ханты-Мансийский авт. окр.;Уральский;41675
1018;Лянтор;Ханты-Мансийский авт. окр.;Уральский;38922
1019;Мегион;Ханты-Мансийский авт. окр.;Уральский;49471
1020;Нефтеюганск;Ханты-Мансийский авт. окр.;Уральский;123276
1021;Нижневартовск;Ханты-Мансийский авт. окр.;Уральский;251860
1022;Нягань;Ханты-Мансийский авт. окр.;Уральский;54903
1023;Покачи;Ханты-Мансийский авт. окр.;Уральский;17053
1024;Пыть-Ях;Ханты-Мансийский авт. окр.;Уральский;41453
1025;Радужный;Ханты-Мансийский авт. окр.;Уральский;43394
1026;Советский;Ханты-Мансийский авт. окр.;Уральский;26434
1027;Сургут;Ханты-Мансийский авт. окр.;Уральский;306703
1028;Урай;Ханты-Мансийский авт. окр.;Уральский;39435
1029;Ханты-Мансийск;Ханты-Мансийский авт. окр.;Уральский;79410
1030;Югорск;Ханты-Мансийский авт. окр.;Уральский;34066
1031;Аша;Челябинская область;Уральский;31916
1032;Бакал;Челябинская область;Уральский;20953
1033;Верхнеуральск;Челябинская область;Уральский;9459
1034;Верхний Уфалей;Челябинская область;Уральский;30504
1035;Еманжелинск;Челябинская область;Уральский;30218
1036;Златоуст;Челябинская область;Уральский;174985
1037;Карабаш;Челябинская область;Уральский;13151
1038;Карталы;Челябинская область;Уральский;29136
1039;Касли;Челябинская область;Уральский;16998
1040;Катав-Ивановск;Челябинская область;Уральский;17640
1041;Копейск;Челябинская область;Уральский;137604
1042;Коркино;Челябинская область;Уральский;38950
1043;Куса;Челябинская область;Уральский;18792
1044;Кыштым;Челябинская область;Уральский;38950
1045;Магнитогорск;Челябинская область;Уральский;408401
1046;Миасс;Челябинская область;Уральский;151812
1047;Миньяр;Челябинская область;Уральский;10195
1048;Нязепетровск;Челябинская область;Уральский;12452
1049;Озёрск;Челябинская область;Уральский;82268
1050;Пласт;Челябинская область;Уральский;17344
1051;Сатка;Челябинская область;Уральский;45465
1052;Сим;Челябинская область;Уральский;14465
1053;Снежинск;Челябинская область;Уральский;48896
1054;Трёхгорный;Челябинская область;Уральский;33678
1055;Троицк;Челябинская область;Уральский;78637
1056;Усть-Катав;Челябинская область;Уральский;23586
1057;Чебаркуль;Челябинская область;Уральский;43405
1058;Челябинск;Челябинская область;Уральский;1130273
1059;Южноуральск;Челябинская область;Уральский;37890
1060;Юрюзань;Челябинская область;Уральский;12568
1061;Аргун;Чечня;Северо-Кавказский;29528
1062;Грозный;Чечня;Северо-Кавказский;271596
1063;Гудермес;Чечня;Северо-Кавказский;45643
1064;Урус-Мартан;Чечня;Северо-Кавказский;49071
1065;Шали;Чечня;Северо-Кавказский;47715
1066;Алатырь;Чувашия;Приволжский;38202
1067;Канаш;Чувашия;Приволжский;45608
1068;Козловка;Чувашия;Приволжский;10355
1069;Мариинский Посад;Чувашия;Приволжский;10186
1070;Новочебоксарск;Чувашия;Приволжский;124094
1071;Цивильск;Чувашия;Приволжский;13478
1072;Чебоксары;Чувашия;Приволжский;447929
1073;Шумерля;Чувашия;Приволжский;33412
1074;Ядрин;Чувашия;Приволжский;9614
1075;Анадырь;Чукотский авт. окр.;Дальневосточный;13053
1076;Билибино;Чукотский авт. окр.;Дальневосточный;5504
1077;Певек;Чукотский авт. окр.;Дальневосточный;4161
1078;Алдан;Якутия;Дальневосточный;21277
1079;Верхоянск;Якутия;Дальневосточный;1311
1080;Вилюйск;Якутия;Дальневосточный;10233
1081;Ленск;Якутия;Дальневосточный;24955
1082;Мирный;Якутия;Дальневосточный;37179
1083;Нерюнгри;Якутия;Дальневосточный;61746
1084;Нюрба;Якутия;Дальневосточный;10156
1085;Олёкминск;Якутия;Дальневосточный;9487
1086;Покровск;Якутия;Дальневосточный;9495
1087;Среднеколымск;Якутия;Дальневосточный;3525
1088;Томмот;Якутия;Дальневосточный;8054
1089;Удачный;Якутия;Дальневосточный;12611
1090;Якутск;Якутия;Дальневосточный;269486
1091;Губкинский;Ямало-Ненецкий авт. окр.;Уральский;23340
1092;Лабытнанги;Ямало-Ненецкий авт. окр.;Уральский;26948
1093;Муравленко;Ямало-Ненецкий авт. окр.;Уральский;33401
1094;Надым;Ямало-Ненецкий авт. окр.;Уральский;46550
1095;Новый Уренгой;Ямало-Ненецкий авт. окр.;Уральский;104144
1096;Ноябрьск;Ямало-Ненецкий авт. окр.;Уральский;110572
1097;Салехард;Ямало-Ненецкий авт. окр.;Уральский;42494
1098;Тарко-Сале;Ямало-Ненецкий авт. окр.;Уральский;20372
1099;Гаврилов-Ям;Ярославская область;Центральный;17792
1100;Данилов;Ярославская область;Центральный;15861
1101;Любим;Ярославская область;Центральный;5553
1102;Мышкин;Ярославская область;Центральный;5932
1103;Переславль-Залесский;Ярославская область;Центральный;41923
1104;Пошехонье;Ярославская область;Центральный;6085
1105;Ростов;Ярославская область;Центральный;31791
1106;Рыбинск;Ярославская область;Центральный;200771
1107;Тутаев;Ярославская область;Центральный;41001
1108;Углич;Ярославская область;Центральный;34505
1109;Ярославль;Ярославская область;Центральный;591486